Date,Absolute_humidity_g/m3,dewpoint_2m_K,temperature_2m_K,total_evaporation_19_m_we,total_column_water_vapour_19_kgm2,total_evaporation_daily_m_we,total_precipitation_daily_m,wind_speed_10m_ms,surface_pressure_Pa,forecast_albedo_19,lai_low_19,skin_temperature_19_K,slhf_19_Jm2,ssrd_19_Jm2,soil_moisture_L1_19_m3/m3,Snow Indicator,CAMS_utc_time,CAMS_duaod550,CAMS_aod550,MODIS_AOD_055_mean,S2_B11_mean,S2_B12_mean,S2_B1_mean,S2_B2_mean,S2_B3_mean,S2_B4_mean,S2_B5_mean,S2_B6_mean,S2_B7_mean,S2_B8A_mean,S2_B8_mean,S2_B9_mean,S2_CCI_mean,S2_FII_mean,S2_KAI_mean,S2_Residual_NDVI_mean,S2_cloud_pixels,S2_masked_fraction,S2_masked_pixels,S2_platform,S2_total_pixels,S2_unmasked_pixels,SZA
1/1/2015,0.011834784,254.9946289,269.5821991,-2.27E-06,2.193939209,-0.000438622,2.14E-06,3.153216525,85002.38281,0.206841756,0.5078125,276.3836212,-6296,1769620,0.172195435,1,18:00,2.40E-05,0.033926748,0.036104431,,,,,,,,,,,,,,,,,,,,,,,
1/2/2015,0.016328364,258.9798126,272.2749634,-3.28E-05,4.835315704,-0.000465091,1.30E-06,2.227278249,85031.57031,0.205006089,0.5078125,278.8921509,-82712,1723920,0.166610718,1,18:00,2.63E-05,0.018477224,0.047248754,,,,,,,,,,,,,,,,,,,,,,,
1/3/2015,0.020869888,262.1665344,275.4886017,-7.12E-05,7.046890259,-0.000535255,2.99E-06,2.011737027,85259.53516,0.200530648,0.5078125,280.5420532,-178580,1700420,0.161941528,1,18:00,9.28E-05,0.01842086,0.071472278,,,,,,,,,,,,,,,,,,,,,,,
1/4/2015,0.027619848,265.7227478,275.0834656,-3.32E-05,7.114946365,-0.000361526,8.57E-07,1.627393039,85872.26172,0.195109166,0.5078125,277.8836365,-83040,772172,0.157623291,1,18:00,0.00019979,0.07337648,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2015,0.033838848,268.6349335,280.3655853,-7.09E-05,9.001607895,-0.000566687,2.59E-06,1.889118416,86118.74219,0.192083314,0.5078125,283.3100433,-177328,1682836,0.153793335,1,18:00,6.45E-05,0.01905721,0.151277754,,,,,,,,,,,,,,,,,,,,,,,
1/6/2015,0.041188377,271.3359375,281.6746979,-6.71E-05,9.229007721,-0.000580951,3.88E-06,2.047356007,86029.95703,0.189362638,0.5078125,284.3323364,-167800,1675736,0.147171021,1,18:00,4.33E-05,0.011468522,0.082775308,,,,,,,,,,,,,,,,,,,,,,,
1/7/2015,0.055737615,275.5887756,283.1853027,-6.88E-05,7.736623764,-0.000567506,2.57E-06,2.123076163,85825.28516,0.187999994,0.5078125,285.4402313,-171988,1705560,0.140213013,0,18:00,5.36E-05,0.018013585,0.032892402,,,,,,,,,,,,,,,,,,,,,,,
1/8/2015,0.058891073,276.3277435,282.4427795,-6.70E-05,7.187108994,-0.000534102,2.17E-06,1.881267865,85292.6875,0.187446065,0.5078125,285.4989929,-167452,1721160,0.132797241,0,18:00,2.96E-05,0.011707034,0.049374442,,,,,,,,,,,,,,,,,,,,,,,
1/9/2015,0.058228522,276.0911713,280.9133606,-6.00E-05,10.3884182,-0.000477001,8.52E-07,1.765007805,85046.60938,0.187288865,0.5078125,285.1916809,-150072,1702096,0.125671387,0,18:00,8.81E-05,0.012812808,0,,,,,,,,,,,,,,,,,,,,,,,
1/10/2015,0.055774286,275.5671997,282.5650635,-5.58E-05,10.86740875,-0.000514193,8.62E-07,0.325839627,84830.71484,0.187299512,0.5078125,288.1011047,-139534,1697672,0.119277954,0,18:00,0.000120048,0.009453021,0,,,,,,,,,,,,,,,,,,,,,,,
1/11/2015,0.052634995,274.6668701,280.7737732,-4.10E-05,11.00856018,-0.000464149,1.91E-06,1.19484314,85052.84766,0.187386453,0.5078125,285.5986481,-102478,1505672,0.112106323,0,18:00,0.000145755,0.03672046,0,,,,,,,,,,,,,,,,,,,,,,,
1/12/2015,0.05773833,275.8909912,279.3057556,-4.19E-05,9.760332108,-0.000470795,1.71E-06,0.652118166,85187.47656,0.187503912,0.5078125,284.7661591,-104704,1460844,0.106124878,0,18:00,0.000486293,0.08772504,0,,,,,,,,,,,,,,,,,,,,,,,
1/13/2015,0.036031651,269.3518066,277.8690643,-6.41E-05,5.622909546,-0.000588441,4.47E-06,6.086570351,85391.9375,0.187636629,0.5078125,281.5028076,-160260,1751756,0.098495483,0,18:00,1.87E-05,0.010863721,0.094108341,,,,,,,,,,,,,,,,,,,,,,,
1/14/2015,0.032560098,267.9468384,276.6157379,-5.65E-05,3.445732117,-0.000557706,8.57E-07,2.366934297,85588.78516,0.187769346,0.5078125,282.2710419,-141368,1827636,0.091140747,0,18:00,2.82E-05,0.018140309,0.023841633,,,,,,,,,,,,,,,,,,,,,,,
1/15/2015,0.026600468,265.3948212,278.4748383,-5.01E-05,3.54278183,-0.000500331,4.35E-07,1.315474133,85856.77734,0.187902063,0.5078125,283.5337372,-125362,1839956,0.084762573,0,18:00,6.28E-05,0.033933133,0.063674203,,,,,,,,,,,,,,,,,,,,,,,
1/16/2015,0.026723479,265.4976044,279.4065704,-4.76E-05,8.224708557,-0.000497207,6.47E-06,0.605253552,85477.71094,0.188123964,0.5078125,285.0822296,-119162,1748008,0.07850647,0,18:00,0.000157874,0.020560391,0.099233976,,,,,,,,,,,,,,,,,,,,,,,
1/17/2015,0.038053309,270.2757568,281.8806458,-4.60E-05,11.17220879,-0.000444181,1.70E-06,1.047242206,85727.48828,0.188345868,0.5078125,285.6546783,-115152,1668028,0.072540283,0,18:00,0.000387963,0.04489152,0.071296599,,,,,,,,,,,,,,,,,,,,,,,
1/18/2015,0.042244461,271.6657715,281.3777924,-3.16E-05,8.248291016,-0.000463779,8.52E-07,0.641356938,85705.77344,0.188567769,0.5078125,285.1185455,-79030,1242712,0.067077637,0,18:00,0.000745139,0.077992976,0,,,,,,,,,,,,,,,,,,,,,,,
