Season,Band,Parameter,Coefficient,Abs_Coefficient,VIP,VIP_Class,Influence_Class,R2_Train,R2_CV,RMSE_CV,Components
FULL_2015_2026,B2,Soil_Moisture,-0.341574155,0.341574155,1.059566229,High,Moderate,0.32236597,0.27024832,0.854255044,4
FULL_2015_2026,B2,CAMS_AOD,0.2404971,0.2404971,0.824454804,Moderate,Weak,0.32236597,0.27024832,0.854255044,4
FULL_2015_2026,B2,TCWV,0.063212321,0.063212321,1.125192875,High,Negligible,0.32236597,0.27024832,0.854255044,4
FULL_2015_2026,B2,Residual_NDVI,-0.451745165,0.451745165,0.965160441,Moderate,Strong,0.32236597,0.27024832,0.854255044,4
FULL_2015_2026,B3,Soil_Moisture,-0.422618285,0.422618285,1.179124421,High,Strong,0.398299629,0.354761013,0.803267693,3
FULL_2015_2026,B3,CAMS_AOD,0.299085953,0.299085953,0.958672056,Moderate,Moderate,0.398299629,0.354761013,0.803267693,3
FULL_2015_2026,B3,TCWV,0.077714379,0.077714379,1.104505732,High,Negligible,0.398299629,0.354761013,0.803267693,3
FULL_2015_2026,B3,Residual_NDVI,-0.366328545,0.366328545,0.686061641,Low,Moderate,0.398299629,0.354761013,0.803267693,3
FULL_2015_2026,B4,Soil_Moisture,-0.441064673,0.441064673,1.132628823,High,Strong,0.433372817,0.403859633,0.772101268,3
FULL_2015_2026,B4,CAMS_AOD,0.315089879,0.315089879,0.94134182,Moderate,Moderate,0.433372817,0.403859633,0.772101268,3
FULL_2015_2026,B4,TCWV,0.04170203,0.04170203,1.093766768,High,Negligible,0.433372817,0.403859633,0.772101268,3
FULL_2015_2026,B4,Residual_NDVI,-0.453034512,0.453034512,0.796681733,Low,Strong,0.433372817,0.403859633,0.772101268,3
FULL_2015_2026,B5,Soil_Moisture,-0.423144398,0.423144398,1.156387626,High,Strong,0.462473271,0.435977364,0.751014404,3
FULL_2015_2026,B5,CAMS_AOD,0.312760396,0.312760396,1.012344157,High,Moderate,0.462473271,0.435977364,0.751014404,3
FULL_2015_2026,B5,TCWV,0.156440988,0.156440988,1.154008514,High,Weak,0.462473271,0.435977364,0.751014404,3
FULL_2015_2026,B5,Residual_NDVI,-0.311201749,0.311201749,0.553345567,Low,Moderate,0.462473271,0.435977364,0.751014404,3
FULL_2015_2026,B8A,Soil_Moisture,-0.306644922,0.306644922,1.17579114,High,Moderate,0.414436612,0.370147964,0.793632179,1
FULL_2015_2026,B8A,CAMS_AOD,0.300342155,0.300342155,1.185591724,High,Moderate,0.414436612,0.370147964,0.793632179,1
FULL_2015_2026,B8A,TCWV,0.279055324,0.279055324,1.098147881,High,Moderate,0.414436612,0.370147964,0.793632179,1
FULL_2015_2026,B8A,Residual_NDVI,-0.024188525,0.024188525,0.077192565,Low,Negligible,0.414436612,0.370147964,0.793632179,1
FULL_2015_2026,B9,Soil_Moisture,-0.133383733,0.133383733,0.285219431,Low,Weak,0.3659376,0.277777702,0.84983663,2
FULL_2015_2026,B9,CAMS_AOD,0.28308792,0.28308792,0.530288882,Low,Moderate,0.3659376,0.277777702,0.84983663,2
FULL_2015_2026,B9,TCWV,-0.169039927,0.169039927,0.809269286,Moderate,Weak,0.3659376,0.277777702,0.84983663,2
FULL_2015_2026,B9,Residual_NDVI,-0.656221515,0.656221515,1.726999363,High,Very Strong,0.3659376,0.277777702,0.84983663,2
FULL_2015_2026,B11,Soil_Moisture,-0.526766434,0.526766434,1.279166825,High,Strong,0.568744037,0.540035463,0.678206854,3
FULL_2015_2026,B11,CAMS_AOD,0.327735082,0.327735082,0.980920611,Moderate,Moderate,0.568744037,0.540035463,0.678206854,3
FULL_2015_2026,B11,TCWV,0.147221375,0.147221375,1.093578152,High,Weak,0.568744037,0.540035463,0.678206854,3
FULL_2015_2026,B11,Residual_NDVI,-0.308708142,0.308708142,0.453446592,Low,Moderate,0.568744037,0.540035463,0.678206854,3
FULL_2015_2026,B12,Soil_Moisture,-0.51718634,0.51718634,1.246728825,High,Strong,0.542643992,0.513602726,0.697421877,3
FULL_2015_2026,B12,CAMS_AOD,0.342564684,0.342564684,0.960211567,Moderate,Moderate,0.542643992,0.513602726,0.697421877,3
FULL_2015_2026,B12,TCWV,0.088752888,0.088752888,1.082831854,High,Negligible,0.542643992,0.513602726,0.697421877,3
FULL_2015_2026,B12,Residual_NDVI,-0.386253378,0.386253378,0.59256743,Low,Moderate,0.542643992,0.513602726,0.697421877,3
Feb01_Jun15,B2,Soil_Moisture,-0.496101735,0.496101735,1.436093523,High,Strong,0.424633042,0.341005089,0.811785016,4
